Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
Rock Mechanics and Rock Engineering,10.8,"98.0%
7/330
Geology",19423,1796,88,1.994,1.956,Springer Nature
Polymer Testing,10.8,"92.0%
17/212
General Chemical Engineering",18208,1683,89,1.072,0.982,Taiwan Institute of Chemical Engineers
Frontiers in Immunology,10.8,"85.0%
34/231
Immunology and Allergy",268044,24712,84,1.259,1.941,Frontiers Media S.A.
Cell Death Discovery,10.7,"85.0%
15/100
Cellular and Molecular Neuroscience",19150,1796,86,1.202,1.986,Springer Nature
Finance Research Letters,10.7,"94.0%
18/333
Finance",44370,4136,75,1.918,1.711,Elsevier
Geoenergy Science and Engineering,10.7,"92.0%
18/239
Geotechnical Engineering and Engineering Geology",51896,4840,89,1.594,1.167,Elsevier
Emerging Infectious Diseases,10.7,"92.0%
28/357
Infectious Diseases",21489,2007,83,1.473,1.879,Centers for Disease Control and Prevention (CDC)
European Radiology,10.7,"95.0%
17/346
Radiology, Nuclear Medicine and Imaging",35315,3310,93,1.67,1.535,Springer Nature
Tribology International,10.7,"93.0%
50/720
Mechanical Engineering",33611,3145,87,1.945,1.377,Elsevier
Computers and Electrical Engineering,10.7,"90.0%
92/970
Electrical and Electronic Engineering",24797,2319,82,1.628,1.053,Elsevier
Materials Today Chemistry,10.7,"88.0%
20/167
Polymers and Plastics",21552,2012,83,1.057,1.28,Elsevier
Advanced Electronic Materials,10.7,"87.0%
38/305
Electronic, Optical and Magnetic Materials",16509,1547,88,1.241,1.478,John Wiley & Sons
IEEE Transactions on Circuits and Systems,10.6,"93.0%
24/344
General Engineering",19720,1863,83,2.233,1.734,IEEE
International Journal of Heat and Mass Transfer,10.6,"93.0%
7/97
Fluid Flow and Transfer Processes",52298,4940,88,1.89,1.299,Elsevier
Neural Networks,10.6,"92.0%
10/121
Cognitive Neuroscience",21501,2026,82,2.016,1.491,Elsevier
Electrochimica Acta,10.6,"87.0%
34/274
General Chemical Engineering",64636,6097,88,0.944,1.106,Elsevier
Philosophical Transactions of the Royal Society B: Biological Sciences,10.6,"95.0%
10/228
General Agricultural and Biological Sciences",16930,1590,99,1.64,1.732,Royal Society Publishing
Environmental Science and Pollution Research,10.6,"87.0%
19/148
Health, Toxicology and Mutagenesis",247965,23392,88,1.084,1.004,Springer Nature
Pediatrics,10.5,"97.0%
10/342
Pediatrics, Perinatology and Child Health",24580,2340,77,2.489,2.406,American Academy of Pediatrics
Food and Function,10.5,"92.0%
32/404
Food Science",37031,3526,86,1.138,1.194,Royal Society of Chemistry
Journal of Molecular Liquids,10.5,"92.0%
34/443
Condensed Matter Physics",114614,10964,84,1.205,0.935,Elsevier
IEEE Wireless Communications Letters,10.5,"90.0%
94/970
Electrical and Electronic Engineering",24332,2315,81,1.727,2.24,IEEE
IEEE Transactions on Network and Service Management,10.5,"90.0%
93/970
Electrical and Electronic Engineering",15977,1517,86,1.796,1.5,IEEE
Diabetes Research and Clinical Practice,10.5,"89.0%
27/247
Endocrinology, Diabetes and Metabolism",15308,1461,79,2.005,1.537,Elsevier
Cells,10.5,"88.0%
27/225
General Medicine",35464,3396,82,0.875,1.159,Royal Society of Chemistry
Wear,10.4,"92.0%
35/443
Condensed Matter Physics",17043,1635,91,1.8,1.204,Elsevier
Analytica Chimica Acta,10.4,"89.0%
9/79
Spectroscopy",40532,3910,86,1.117,1.004,Elsevier
Arabian Journal of Chemistry,10.4,"87.0%
35/274
General Chemical Engineering",27280,2623,88,1.24,0.888,Elsevier
Journal of Ethnopharmacology,10.4,"89.0%
34/321
Pharmacology",48869,4689,91,1.578,1.142,Elsevier
Thin-Walled Structures,10.4,"92.0%
54/720
Mechanical Engineering",38633,3717,85,1.965,1.625,Elsevier
IEEE Transactions on Power Delivery,10.3,"90.0%
95/970
Electrical and Electronic Engineering",17034,1653,89,1.746,1.661,IEEE
IEEE Robotics and Automation Letters,10.3,"97.0%
5/160
Control and Optimization",54208,5265,82,2.047,1.481,IEEE
Applied Mathematical Modelling,10.3,"97.0%
20/665
Applied Mathematics",21948,2123,89,1.721,1.126,Elsevier
Aerospace Science and Technology,10.3,"95.0%
8/157
Aerospace Engineering",30058,2916,84,2.17,1.567,Elsevier
Atmospheric Chemistry and Physics,10.3,"92.0%
11/149
Atmospheric Science",32075,3126,86,1.408,2.112,Copernicus Publications
Journal of Polymers and the Environment,10.3,"87.0%
22/167
Polymers and Plastics",15555,1517,87,1.115,0.865,Springer Nature
PLOS Pathogens,10.2,"94.0%
5/82
Parasitology",27946,2747,84,1.217,1.987,Public Library of Science
ACS Applied Energy Materials,10.2,"90.0%
97/970
Electrical and Electronic Engineering",55479,5450,86,0.871,1.378,American Chemical Society
Cochrane Database of Systematic Reviews,10.2,"92.0%
20/275
Pharmacology (medical)",24459,2392,79,2.041,1.623,John Wiley & Sons
Surface and Coatings Technology,10.2,"91.0%
38/443
Condensed Matter Physics",42060,4105,87,1.593,1.211,Elsevier
IEEE Transactions on Visualization and Computer Graphics,10.2,"92.0%
10/127
Computer Graphics and Computer-Aided Design",18696,1829,88,2.13,1.059,IEEE
European Polymer Journal,10.2,"91.0%
18/212
Organic Chemistry",26849,2629,86,1.161,1.076,Elsevier
Neurology,10.2,"90.0%
38/400
Neurology (clinical)",32575,3202,71,1.823,2.401,Wolters Kluwer Health
Communications Earth and Environment,10.2,"95.0%
9/198
General Earth and Planetary Sciences",17767,1742,75,2.371,2.953,Springer Nature
International Journal of Pharmaceutics,10.1,"88.0%
21/185
Pharmaceutical Science",42307,4176,85,1.107,0.988,Elsevier
Journal of Analytical and Applied Pyrolysis,10.1,"87.0%
21/160
Analytical Chemistry",16398,1616,83,1.377,1.277,Elsevier
IEEE Transactions on Instrumentation and Measurement,10.1,"92.0%
13/174
Instrumentation",83294,8228,82,1.829,1.471,IEEE
IEEE Transactions on Industry Applications,10.1,"89.0%
99/970
Electrical and Electronic Engineering",28555,2822,87,1.694,1.626,IEEE
International Communications in Heat and Mass Transfer,10.1,"91.0%
39/443
Condensed Matter Physics",29934,2954,77,1.64,1.063,Elsevier
Marine Drugs,10.1,"92.0%
4/46
Engineering (miscellaneous)",46663,4676,81,1.67,1.061,Elsevier
Dianli Xitong Zidonghua/Automation of Electric Power Systems,10.0,"89.0%
100/970
Electrical and Electronic Engineering",18964,1903,86,1.602,1.398,Automation of Electric Power Systems Press
Plant Physiology and Biochemistry,10.0,"94.0%
28/534
Plant Science",25947,2584,83,1.369,1.322,Elsevier
Pharmaceutics,10.0,"88.0%
22/185
Nuclear and High Energy Physics",100985,10228,86,1.22,0.833,Springer Nature
Management Science,9.9,"87.0%
27/218
Management Science and Operations Research",16205,1640,86,2.878,5.72,INFORMS Institute for Operations Research and the Management Sciences
Nanoscale,9.9,"83.0%
76/460
General Materials Science",69515,7053,82,0.934,1.245,Royal Society of Chemistry
Inorganic Chemistry Frontiers,9.9,"90.0%
8/81
Inorganic Chemistry",25001,2532,81,0.949,1.276,Royal Society of Chemistry
Rheumatology,9.9,"92.0%
22/275
Pharmacology (medical)",22032,2227,90,1.373,1.721,Oxford University Press
"Chaos, Solitons and Fractals",9.9,"97.0%
3/89
Mathematical Physics",47199,4758,83,1.537,1.184,Elsevier
Materials Research Bulletin,9.9,"91.0%
61/720
Mechanical Engineering",15924,1607,87,1.0,0.943,Elsevier
Food and Chemical Toxicology,9.9,"93.0%
9/131
Toxicology",19237,1939,78,1.101,0.801,Elsevier
International Journal of Thermal Sciences,9.9,"92.0%
27/344
General Engineering",22577,2287,89,1.802,1.16,Elsevier
Vaccines,9.9,"91.0%
24/275
Library and Information Sciences",24251,2483,81,1.497,1.467,American Chemical Society
Ocean and Coastal Management,9.8,"97.0%
5/150
Oceanography",15291,1566,83,1.502,1.245,Elsevier
Journal of Neurology,9.8,"90.0%
18/194
Neurology",21212,2155,84,1.691,1.687,Springer Nature
Annals of Operations Research,9.8,"87.0%
28/218
Management Science and Operations Research",19290,1977,82,1.618,1.092,Springer Nature
Cellulose,9.8,"85.0%
24/167
Polymers and Plastics",26448,2695,86,1.095,0.964,Springer Nature
Biosensors,9.8,"92.0%
14/174
Biomedical Engineering",19153,1969,83,0.916,1.105,American Chemical Society
Case Studies in Construction Materials,9.7,"83.0%
39/232
Materials Science (miscellaneous)",33882,3510,81,1.859,1.613,Elsevier
IEEE Transactions on Engineering Management,9.7,"89.0%
105/970
Electrical and Electronic Engineering",17420,1792,84,2.262,1.134,IEEE
Monthly Notices of the Royal Astronomical Society,9.7,"90.0%
10/103
Space and Planetary Science",143744,14814,88,1.188,1.702,Oxford University Press
Marine Pollution Bulletin,9.7,"96.0%
6/150
Oceanography",47366,4906,83,1.2,1.402,Elsevier
Polymers,9.7,"85.0%
58/404
Mechanical Engineering",27194,2828,90,0.863,1.154,John Wiley & Sons
Earth and Planetary Science Letters,9.6,"97.0%
5/177
Geophysics",16158,1686,83,1.609,2.254,Elsevier
Colloids and Surfaces A: Physicochemical and Engineering Aspects,9.6,"85.0%
28/187
Physical and Theoretical Chemistry",84824,8882,86,0.999,0.944,Elsevier
Results in Physics,9.6,"89.0%
27/246
General Physics and Astronomy",34959,3630,82,1.244,0.699,Elsevier
Bioinformatics,9.6,"98.0%
6/293
Statistics and Probability",33492,3483,79,1.475,2.451,Oxford University Press
Journal of Water Process Engineering,9.6,"91.0%
21/235
Safety, Risk, Reliability and Quality",46300,4810,78,1.221,1.348,Elsevier
Journal of Sound and Vibration,9.6,"95.0%
3/51
Acoustics and Ultrasonics",18793,1955,88,1.913,1.534,Elsevier
Energy and Fuels,9.5,"86.0%
38/274
General Chemical Engineering",57124,6022,84,1.145,1.124,American Chemical Society
Materials Advances,9.5,"83.0%
21/124
Chemistry (miscellaneous)",25508,2684,80,1.116,1.115,Royal Society of Chemistry
Journal of Affective Disorders,9.5,"95.0%
14/313
Clinical Psychology",52616,5512,84,1.646,2.121,Elsevier
Journal of Lightwave Technology,9.5,"85.0%
33/232
Atomic and Molecular Physics, and Optics",34238,3603,84,1.758,1.294,IEEE
Journal of Materials Research and Technology,9.5,"88.0%
21/175
Metals and Alloys",93494,9846,83,1.749,1.318,Elsevier
Engineering Applications of Artificial Intelligence,9.5,"88.0%
112/970
Electrical and Electronic Engineering",40762,4287,82,1.888,1.652,Elsevier
Industrial Crops and Products,9.4,"92.0%
32/414
Agronomy and Crop Science",59603,6374,82,1.268,0.974,Elsevier
Biochemical Pharmacology,9.4,"86.0%
58/441
Biochemistry",17027,1814,85,1.236,1.599,Elsevier
Journal of Agricultural and Food Chemistry,9.3,"94.0%
13/228
General Agricultural and Biological Sciences",62943,6798,80,1.342,1.215,American Chemical Society
Journal of Materials Chemistry C,9.3,"85.0%
60/404
General Chemistry",64054,6866,81,1.003,1.22,Royal Society of Chemistry
Personality and Individual Differences,9.3,"91.0%
18/218
General Psychology",18360,1964,84,1.34,1.419,Elsevier
Computer Networks,9.3,"87.0%
63/507
Computer Networks and Communications",17395,1873,81,1.371,1.17,Elsevier
Applied Soil Ecology,9.3,"96.0%
8/231
Agricultural and Biological Sciences (miscellaneous)",15079,1629,83,1.264,1.456,Elsevier
IEEE Transactions on Microwave Theory and Techniques,9.3,"96.0%
3/67
Radiation",18726,2009,88,2.245,1.827,IEEE
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,9.3,"90.0%
14/149
Atmospheric Science",35490,3805,81,1.57,1.349,IEEE
Nonlinear Dynamics,9.3,"95.0%
28/665
Applied Mathematics",37235,3999,83,1.561,1.201,Springer Nature
Appetite,9.3,"91.0%
19/218
General Psychology",15614,1682,80,1.322,1.184,Elsevier
Biomacromolecules,9.2,"84.0%
27/167
Polymers and Plastics",18726,2029,83,1.011,1.142,American Chemical Society
Atmospheric Research,9.2,"90.0%
15/149
Atmospheric Science",19081,2074,84,1.341,1.44,Elsevier
Minerals Engineering,9.2,"90.0%
24/239
Geotechnical Engineering and Engineering Geology",17435,1899,83,1.565,1.101,Elsevier
Optics and Laser Technology,9.2,"87.0%
121/970
Electrical and Electronic Engineering",40355,4383,88,1.623,1.0,Elsevier
Journal of Physics and Chemistry of Solids,9.2,"89.0%
47/443
Condensed Matter Physics",20430,2214,88,0.991,0.816,Elsevier
Nanomaterials,9.2,"85.0%
39/274
Inorganic Chemistry",17843,1931,91,1.109,0.81,Springer Nature
Molecular Ecology,9.1,"94.0%
43/731
Ecology, Evolution, Behavior and Systematics",15006,1644,87,1.233,1.707,John Wiley & Sons
Journal of Cosmology and Astroparticle Physics,9.1,"86.0%
13/95
Astronomy and Astrophysics",29682,3262,83,1.107,0.795,Institute of Physics Publishing
Applied Intelligence,9.1,"81.0%
86/450
Artificial Intelligence",36139,3968,83,1.209,0.932,Springer Nature
Social Science and Medicine,9.1,"98.0%
3/239
Electronic, Optical and Magnetic Materials",156967,17296,83,1.257,1.034,Elsevier
Nutrients,9.1,"88.0%
17/144
Organic Chemistry",35481,3938,86,1.222,1.352,American Chemical Society
ACS Applied Bio Materials,9.0,"84.0%
12/76
Biochemistry (medical)",21730,2411,83,0.774,0.894,American Chemical Society
Journal of Climate,9.0,"88.0%
17/149
Atmospheric Science",16992,1882,86,1.362,2.169,American Meteorological Society
Powder Technology,9.0,"85.0%
40/274
General Chemical Engineering",36634,4048,85,1.522,0.971,Elsevier
Computers and Geotechnics,9.0,"89.0%
26/239
Geotechnical Engineering and Engineering Geology",21716,2424,84,2.106,1.878,Elsevier
Physical Review D,9.0,"92.0%
7/91
Nuclear and High Energy Physics",152127,16922,83,1.225,1.458,American Physical Society
IEEE Geoscience and Remote Sensing Letters,9.0,"88.0%
27/239
Geotechnical Engineering and Engineering Geology",37537,4193,83,1.368,1.258,IEEE
IEEE Communications Letters,9.0,"93.0%
23/361
Modeling and Simulation",24150,2692,83,1.536,1.708,IEEE
IEEE Transactions on Aerospace and Electronic Systems,9.0,"91.0%
14/157
Aerospace Engineering",19391,2144,81,2.151,1.528,IEEE
IEEE Access,9.0,"90.0%
32/344
General Engineering",402859,44988,78,1.504,0.849,IEEE
International Journal of Molecular Sciences,9.0,"90.0%
21/212
Infectious Diseases",52177,5772,83,1.191,1.393,Frontiers Media S.A.
Astronomical Journal,8.9,"86.0%
14/103
Space and Planetary Science",20059,2264,82,1.264,2.229,American Astronomical Society
Astronomy and Astrophysics,8.9,"87.0%
13/103
Space and Planetary Science",89089,10000,81,1.429,1.968,EDP Sciences
Aquaculture,8.9,"95.0%
12/257
Aquatic Science",43338,4875,88,1.302,1.096,Elsevier
Frontiers in Pharmacology,8.9,"89.0%
29/275
Pharmacology (medical)",138968,15561,82,1.153,1.22,Frontiers Media S.A.
Sustainable Energy and Fuels,8.8,"81.0%
56/299
Energy Engineering and Power Technology",16443,1864,82,0.79,1.019,Royal Society of Chemistry
Engineering Failure Analysis,8.8,"90.0%
33/344
General Engineering",30060,3416,86,1.865,1.159,Elsevier
IEEE Transactions on Circuits and Systems II: Express Briefs,8.8,"86.0%
131/970
Electrical and Electronic Engineering",31970,3652,86,1.763,1.348,IEEE
Neural Regeneration Research,8.8,"94.0%
4/60
Neuroscience (miscellaneous)",15458,1760,87,0.9,1.181,Wolters Kluwer Health
Journal of Translational Medicine,8.8,"94.0%
40/668
General Medicine",26456,2999,81,1.321,1.997,Springer Nature
Atmospheric Environment,8.8,"88.0%
18/149
Atmospheric Science",19445,2220,86,1.15,1.206,Elsevier
Frontiers in Bioengineering and Biotechnology,8.8,"92.0%
5/61
Histology",57091,6477,84,1.07,0.974,Frontiers Media S.A.
Frontiers in Plant Science,8.8,"92.0%
39/534
Plant Science",133202,15118,85,1.257,1.163,Frontiers Media S.A.
Cancers,8.8,"83.0%
68/415
General Agricultural and Biological Sciences",48725,5564,79,1.334,2.071,Springer Nature
Organic Letters,8.7,"88.0%
25/212
Organic Chemistry",61499,7049,86,1.034,1.235,American Chemical Society
Journal of Physical Chemistry Letters,8.7,"83.0%
31/187
Physical and Theoretical Chemistry",54718,6309,84,1.033,1.394,American Chemical Society
Journal of Cellular and Molecular Medicine,8.7,"79.0%
36/177
Molecular Medicine",22044,2535,79,0.943,1.264,John Wiley & Sons
Plant and Soil,8.7,"92.0%
43/534
Plant Science",16054,1855,91,1.232,1.262,Springer Nature
Antibiotics,8.7,"96.0%
3/77
General Engineering",18936,2206,81,0.974,0.974,Royal Society of Chemistry
Engineering Fracture Mechanics,8.6,"87.0%
90/720
Mechanical Engineering",21019,2455,82,1.576,1.255,Elsevier
Water Resources Research,8.6,"90.0%
27/279
Water Science and Technology",21377,2478,84,1.488,1.644,John Wiley & Sons
Psychiatry Research,8.6,"89.0%
59/580
Psychiatry and Mental Health",17652,2062,81,1.29,1.606,Elsevier
Proceedings of the Combustion Institute,8.6,"87.0%
87/720
Mechanical Engineering",15744,1833,74,1.868,1.524,Elsevier
Applied Acoustics,8.6,"93.0%
4/51
Acoustics and Ultrasonics",18848,2193,87,1.489,1.004,Elsevier
Molecules,8.6,"87.0%
26/212
Cognitive Neuroscience",32487,3790,85,1.092,1.479,Frontiers Media S.A.
Materials Chemistry and Physics,8.5,"88.0%
52/443
Condensed Matter Physics",48972,5764,87,1.007,0.808,Elsevier
Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,8.5,"89.0%
18/174
Instrumentation",44722,5283,87,1.033,0.664,Elsevier
Dyes and Pigments,8.5,"83.0%
47/274
General Chemical Engineering",27549,3230,89,0.825,0.68,Elsevier
Surfaces and Interfaces,8.5,"82.0%
24/132
Surfaces, Coatings and Films",36653,4301,78,1.185,1.036,Elsevier
Journal of Natural Fibers,8.5,"80.0%
45/232
Materials Science (miscellaneous)",16387,1926,88,1.067,0.712,Taylor & Francis
International Journal of Disaster Risk Reduction,8.5,"95.0%
5/109
Safety Research",24084,2843,81,1.57,1.194,Elsevier
Journal of the American Heart Association,8.5,"86.0%
53/397
Cardiology and Cardiovascular Medicine",33908,3992,81,1.671,2.189,American Heart Association Inc.
Astrophysical Journal,8.4,"84.0%
16/103
Space and Planetary Science",106571,12759,82,1.255,2.038,American Astronomical Society
European Journal of Pharmacology,8.4,"83.0%
55/321
Pharmacology",22352,2652,82,0.98,1.197,Elsevier
Ocean Engineering,8.4,"89.0%
12/114
Ocean Engineering",83732,9929,84,1.885,1.394,Elsevier
Materials Science in Semiconductor Processing,8.4,"88.0%
53/443
Condensed Matter Physics",24575,2910,86,1.086,0.785,Elsevier
Frontiers in Chemistry,8.4,"82.0%
72/404
General Chemistry",32976,3905,85,0.894,0.83,Frontiers Media S.A.
Journal of Fungi,8.4,"92.0%
54/731
Surgery",15652,1857,88,1.689,1.95,John Wiley & Sons
Geophysical Research Letters,8.4,"95.0%
8/177
Geophysics",57484,6839,82,1.4,1.802,John Wiley & Sons
Scientific Data,8.4,"96.0%
11/293
Statistics and Probability",27778,3323,70,2.113,1.867,Springer Nature
Dianwang Jishu/Power System Technology,8.4,"87.0%
92/720
Mechanical Engineering",17444,2084,86,1.55,1.176,Power System Technology Press
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",8.3,"91.0%
8/91
Nuclear and High Energy Physics",23425,2831,83,1.257,1.383,Elsevier
Journal of Drug Delivery Science and Technology,8.3,"82.0%
33/185
Pharmaceutical Science",31569,3798,82,0.896,0.817,Editions de Sante
Bioorganic Chemistry,8.3,"85.0%
31/212
Organic Chemistry",25570,3072,83,1.102,0.786,Elsevier
Optik,8.3,"85.0%
140/970
Electrical and Electronic Engineering",42215,5073,87,0.924,0.505,Elsevier
Vaccine,8.3,"98.0%
3/200
General Veterinary",30215,3661,80,0.968,1.248,Elsevier
Frontiers in Cellular Neuroscience,8.3,"75.0%
25/100
Cellular and Molecular Neuroscience",16075,1933,83,0.955,1.488,Frontiers Media S.A.
International Journal of Climatology,8.2,"85.0%
22/149
Atmospheric Science",16237,1983,84,1.076,1.163,John Wiley & Sons
Organic Chemistry Frontiers,8.2,"85.0%
32/212
Organic Chemistry",24896,3018,82,0.945,1.068,Royal Society of Chemistry
Electric Power Systems Research,8.2,"84.0%
147/970
Electrical and Electronic Engineering",29382,3603,84,1.372,1.137,Elsevier
IEEE Sensors Journal,8.2,"88.0%
20/174
Instrumentation",100313,12227,78,1.495,1.039,IEEE
Materials Characterization,8.2,"87.0%
58/443
Condensed Matter Physics",27969,3402,83,1.482,1.338,Elsevier
Toxins,8.2,"86.0%
18/131
General Materials Science",64473,7989,81,0.918,1.121,American Chemical Society
Forest Ecology and Management,8.1,"92.0%
14/175
Forestry",23572,2919,85,1.349,1.319,Elsevier
Journal of Electroanalytical Chemistry,8.1,"81.0%
50/274
General Chemical Engineering",25927,3195,86,0.729,0.76,Elsevier
Soft Computing,8.1,"99.0%
1/111
Geometry and Topology",27116,3365,82,1.045,0.674,Springer Nature
World Journal of Gastroenterology,8.1,"88.0%
20/173
Gastroenterology",16814,2087,82,1.381,1.418,Baishideng Publishing Group Inc
Biomass Conversion and Biorefinery,8.0,"69.0%
92/297
Renewable Energy, Sustainability and the Environment",33560,4176,91,1.041,0.702,Springer Nature
Journal of Neuroscience,8.0,"77.0%
25/111
General Neuroscience",21464,2678,82,1.298,1.963,Society for Neuroscience
Journal of Interpersonal Violence,8.0,"91.0%
28/313
Clinical Psychology",23309,2920,90,1.565,1.426,SAGE
Journal of Molecular Structure,8.0,"84.0%
34/212
Organic Chemistry",73958,9232,86,0.999,0.628,Elsevier
Journal of the Science of Food and Agriculture,7.9,"88.0%
48/414
Agronomy and Crop Science",24115,3054,87,1.014,0.798,John Wiley & Sons
Chemical Engineering Science,7.9,"83.0%
65/402
Industrial and Manufacturing Engineering",31158,3968,86,1.166,0.84,Elsevier
Soil Dynamics and Earthquake Engineering,7.9,"85.0%
59/407
Civil and Structural Engineering",16910,2150,83,1.875,1.324,Elsevier
Human Vaccines and Immunotherapeutics,7.9,"80.0%
62/321
Pharmacology",16795,2113,83,0.89,0.897,Taylor & Francis
Aging,7.9,"73.0%
11/40
Aging",28797,3666,83,0.766,1.078,Impact Journals
Analytical and Bioanalytical Chemistry,7.9,"79.0%
33/160
Analytical Chemistry",19478,2451,85,0.921,0.716,Springer Nature
Membranes,7.9,"75.0%
23/91
Food Science",62365,7901,80,1.171,1.115,Frontiers Media S.A.
Journal of Geophysical Research: Solid Earth,7.9,"94.0%
10/177
Geophysics",19069,2406,84,1.538,1.82,John Wiley & Sons
Journal of King Saud University - Science,7.9,"91.0%
17/200
",15689,1985,76,1.181,0.662,Scientific Scholar
Pest Management Science,7.8,"94.0%
10/187
Insect Science",17129,2207,86,1.317,0.901,John Wiley & Sons
Journal of Constructional Steel Research,7.8,"86.0%
33/239
Building and Construction",17684,2281,84,1.825,1.308,Elsevier
Microchimica Acta,7.8,"78.0%
35/160
Analytical Chemistry",16854,2148,79,0.804,0.833,Springer Nature
Journal of Dairy Science,7.8,"96.0%
19/509
Animal Science and Zoology",25040,3226,86,1.562,1.25,Elsevier
European Physical Journal C,7.8,"91.0%
8/87
Physics and Astronomy (miscellaneous)",36168,4647,79,1.407,1.343,Springer Nature
Natural Hazards,7.8,"92.0%
14/179
Earth and Planetary Sciences (miscellaneous)",18785,2411,86,1.248,0.942,Springer Nature
Bulletin of Engineering Geology and the Environment,7.7,"91.0%
29/330
Geology",15691,2033,82,1.364,1.161,Springer Nature
Marine and Petroleum Geology,7.7,"95.0%
3/57
Stratigraphy",15174,1975,85,1.339,1.073,Elsevier
Sensors and Actuators A: Physical,7.7,"87.0%
23/174
Instrumentation",23541,3070,79,1.286,0.825,Elsevier
Polymer,7.7,"82.0%
37/212
Organic Chemistry",28405,3689,82,1.02,0.843,Elsevier
Scientia Horticulturae,7.7,"94.0%
7/126
Horticulture",27411,3553,83,1.306,0.899,Elsevier
Polymer Composites,7.7,"80.0%
81/404
General Chemistry",23205,3030,81,1.311,0.8,John Wiley & Sons
Silicon,7.7,"81.0%
56/305
Electronic, Optical and Magnetic Materials",20938,2708,85,1.07,0.553,Springer Nature
Viruses,7.7,"83.0%
60/357
Media Technology",70266,9079,81,1.435,0.777,Springer Nature
Journal of Thermal Analysis and Calorimetry,7.7,"85.0%
65/443
Condensed Matter Physics",30929,4008,79,0.936,0.551,Springer Nature
Proceedings of the ACM on Human-Computer Interaction,7.7,"95.0%
29/674
Social Sciences (miscellaneous)",16547,2149,76,1.217,0.919,Association for Computing Machinery
Polymer Chemistry,7.6,"82.0%
38/212
Organic Chemistry",16456,2166,83,0.799,0.842,Royal Society of Chemistry
RSC Advances,7.6,"79.0%
82/404
General Chemistry",103335,13541,82,0.964,0.777,Royal Society of Chemistry
IEEE Antennas and Wireless Propagation Letters,7.6,"83.0%
161/970
Electrical and Electronic Engineering",19965,2631,80,1.776,1.682,IEEE
IEEE Electron Device Letters,7.6,"83.0%
160/970
Electrical and Electronic Engineering",15412,2018,79,1.578,1.15,IEEE
Catalysts,7.6,"81.0%
45/240
Mechanical Engineering",38481,5040,81,0.979,0.802,Springer Nature
Materials Science and Engineering: B,7.5,"84.0%
69/443
Condensed Matter Physics",18696,2501,84,1.015,0.778,Elsevier
ACS Applied Electronic Materials,7.4,"79.0%
63/305
Electronic, Optical and Magnetic Materials",20285,2743,79,1.007,1.045,American Chemical Society
Inorganic Chemistry,7.4,"77.0%
19/81
Inorganic Chemistry",64180,8703,82,0.938,0.958,American Chemical Society
Chemical Communications,7.4,"82.0%
31/175
Metals and Alloys",74804,10099,80,0.781,1.037,Royal Society of Chemistry
Journal of Psychiatric Research,7.4,"86.0%
78/580
Psychiatry and Mental Health",17745,2392,79,1.148,1.487,Elsevier
Drones,7.4,"87.0%
20/157
Organic Chemistry",21190,2922,82,1.019,0.731,Elsevier
Results in Engineering,7.3,"86.0%
46/344
Aerospace Engineering",17876,2457,83,1.806,1.277,Elsevier
Thermal Science and Engineering Progress,7.3,"85.0%
15/97
Fluid Flow and Transfer Processes",15146,2071,77,1.458,1.028,Elsevier
Energies,7.3,"90.0%
15/160
Physiology (medical)",54979,7490,86,1.089,1.023,Frontiers Media S.A.
Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,7.3,"82.0%
172/970
Electrical and Electronic Engineering",23514,3226,79,1.435,1.117,Chinese Society for Electrical Engineering
International Immunopharmacology,7.2,"75.0%
80/321
Pharmacology",40864,5648,77,0.98,1.239,Elsevier
Physical Review Applied,7.2,"84.0%
38/246
General Physics and Astronomy",26315,3632,80,1.199,1.288,American Physical Society
FASEB Journal,7.2,"75.0%
86/348
Genetics",19718,2720,80,0.886,1.319,John Wiley & Sons
Journal of the American Ceramic Society,7.2,"74.0%
82/324
Materials Chemistry",18653,2583,86,1.094,0.811,John Wiley & Sons
Journal of Food Composition and Analysis,7.2,"80.0%
78/404
Food Science",19822,2759,82,1.201,0.844,Elsevier
Microchemical Journal,7.2,"80.0%
16/79
Spectroscopy",44410,6183,75,1.006,0.75,Elsevier
ISPRS International Journal of Geo-Information,7.2,"90.0%
18/179
General Agricultural and Biological Sciences",20160,2800,85,0.906,0.736,Springer Nature
ACS Omega,7.1,"77.0%
92/404
General Chemistry",112414,15934,81,1.01,0.773,American Chemical Society
Journal of Supercomputing,7.1,"81.0%
26/136
Theoretical Computer Science",21589,3045,78,1.181,0.716,Springer Nature
Journal of the Mechanical Behavior of Biomedical Materials,7.1,"80.0%
79/403
Mechanics of Materials",15056,2123,86,1.129,0.75,Elsevier
PeerJ Computer Science,7.1,"80.0%
46/239
General Computer Science",15641,2194,65,1.386,0.719,PeerJ Inc.
PLOS Neglected Tropical Diseases,7.0,"87.0%
85/687
Public Health, Environmental and Occupational Health",22042,3129,80,1.443,1.37,Public Library of Science
Food Science and Nutrition,7.0,"78.0%
87/404
Food Science",17349,2486,78,1.237,0.849,John Wiley & Sons
